DATE,M2REAL
1990-01-01,2483.8
1990-02-01,2483.8
1990-03-01,2480.6
1990-04-01,2483.8
1990-05-01,2479.2
1990-06-01,2474.0
1990-07-01,2470.9
1990-08-01,2463.5
1990-09-01,2456.3
1990-10-01,2443.3
1990-11-01,2440.2
1990-12-01,2438.0
1991-01-01,2440.8
1991-02-01,2451.4
1991-03-01,2464.3
1991-04-01,2466.6
1991-05-01,2465.3
1991-06-01,2464.6
1991-07-01,2464.1
1991-08-01,2456.1
1991-09-01,2448.8
1991-10-01,2449.1
1991-11-01,2442.3
1991-12-01,2440.1
1992-01-01,2444.8
1992-02-01,2453.1
1992-03-01,2447.1
1992-04-01,2438.8
1992-05-01,2432.8
1992-06-01,2422.1
1992-07-01,2415.6
1992-08-01,2413.9
1992-09-01,2416.9
1992-10-01,2416.2
1992-11-01,2411.3
1992-12-01,2406.7
1993-01-01,2394.3
1993-02-01,2386.1
1993-03-01,2380.8
1993-04-01,2372.3
1993-05-01,2383.4
1993-06-01,2385.6
1993-07-01,2382.0
1993-08-01,2379.6
1993-09-01,2380.8
1993-10-01,2374.1
1993-11-01,2376.8
1993-12-01,2374.9
1994-01-01,2375.2
1994-02-01,2369.3
1994-03-01,2365.8
1994-04-01,2365.0
1994-05-01,2366.6
1994-06-01,2352.6
1994-07-01,2350.5
1994-08-01,2339.4
1994-09-01,2335.0
1994-10-01,2332.2
1994-11-01,2327.9
1994-12-01,2322.7
1995-01-01,2320.5
1995-02-01,2312.7
1995-03-01,2308.9
1995-04-01,2305.1
1995-05-01,2317.0
1995-06-01,2328.7
1995-07-01,2337.7
1995-08-01,2347.3
1995-09-01,2352.8
1995-10-01,2354.0
1995-11-01,2355.2
1995-12-01,2358.3
1996-01-01,2358.0
1996-02-01,2362.5
1996-03-01,2371.0
1996-04-01,2368.8
1996-05-01,2371.9
1996-06-01,2375.6
1996-07-01,2380.3
1996-08-01,2381.7
1996-09-01,2380.1
1996-10-01,2384.8
1996-11-01,2391.4
1996-12-01,2400.1
1997-01-01,2405.6
1997-02-01,2408.5
1997-03-01,2416.3
1997-04-01,2424.6
1997-05-01,2432.3
1997-06-01,2438.2
1997-07-01,2446.3
1997-08-01,2461.1
1997-09-01,2464.7
1997-10-01,2472.0
1997-11-01,2482.9
1997-12-01,2492.5
1998-01-01,2503.8
1998-02-01,2524.0
1998-03-01,2539.7
1998-04-01,2552.5
1998-05-01,2561.1
