DATE,MCUMFN
1990-01-01,81.3184
1990-02-01,82.2381
1990-03-01,82.4549
1990-04-01,81.9226
1990-05-01,81.9744
1990-06-01,82.0540
1990-07-01,81.6813
1990-08-01,81.8243
1990-09-01,81.5851
1990-10-01,80.8949
1990-11-01,79.7988
1990-12-01,79.0283
1991-01-01,78.4388
1991-02-01,77.7724
1991-03-01,77.1429
1991-04-01,77.3978
1991-05-01,77.8692
1991-06-01,78.5515
1991-07-01,78.8941
1991-08-01,78.8663
1991-09-01,79.6162
1991-10-01,79.3963
1991-11-01,79.1121
1991-12-01,78.7760
1992-01-01,78.1795
1992-02-01,78.7560
1992-03-01,79.3895
1992-04-01,79.6396
1992-05-01,79.8946
1992-06-01,79.9385
1992-07-01,80.4596
1992-08-01,79.8721
1992-09-01,79.7924
1992-10-01,80.0902
1992-11-01,80.2145
1992-12-01,79.9569
1993-01-01,80.5286
1993-02-01,80.5732
1993-03-01,80.2698
1993-04-01,80.5517
1993-05-01,80.3372
1993-06-01,80.0653
1993-07-01,80.1373
1993-08-01,79.8770
1993-09-01,80.3197
1993-10-01,80.8475
1993-11-01,81.0470
1993-12-01,81.3877
1994-01-01,81.2836
1994-02-01,81.1822
1994-03-01,82.0348
1994-04-01,82.5180
1994-05-01,82.7921
1994-06-01,82.8004
1994-07-01,82.8589
1994-08-01,83.2420
1994-09-01,83.2421
1994-10-01,83.7679
1994-11-01,84.1240
1994-12-01,84.7262
1995-01-01,84.5424
1995-02-01,83.9777
1995-03-01,83.8469
1995-04-01,83.2593
1995-05-01,83.1950
1995-06-01,83.2182
1995-07-01,82.2954
1995-08-01,82.8943
1995-09-01,83.2403
1995-10-01,82.7576
1995-11-01,82.4113
1995-12-01,82.3071
1996-01-01,81.3587
1996-02-01,82.1143
1996-03-01,81.4317
1996-04-01,81.9991
1996-05-01,82.1880
1996-06-01,82.5410
1996-07-01,82.4496
1996-08-01,82.3370
1996-09-01,82.5621
1996-10-01,81.9834
1996-11-01,82.2380
1996-12-01,82.4453
1997-01-01,82.0694
1997-02-01,82.7109
1997-03-01,83.0694
1997-04-01,82.4596
1997-05-01,82.5576
1997-06-01,82.5309
1997-07-01,82.5972
1997-08-01,83.0734
1997-09-01,83.2263
1997-10-01,83.3652
1997-11-01,83.6217
1997-12-01,83.4408
1998-01-01,83.5036
1998-02-01,82.9777
1998-03-01,82.1901
1998-04-01,81.9449
1998-05-01,81.8203
1998-06-01,80.6141
1998-07-01,79.6942
1998-08-01,81.2403
1998-09-01,80.6921
1998-10-01,80.9469
1998-11-01,80.5961
1998-12-01,80.6472
1999-01-01,80.4602
1999-02-01,80.7945
1999-03-01,80.3841
1999-04-01,80.3129
1999-05-01,80.6074
1999-06-01,80.0535
1999-07-01,80.0877
1999-08-01,80.1380
1999-09-01,79.4163
1999-10-01,80.2667
1999-11-01,80.4491
1999-12-01,80.6864
2000-01-01,80.3934
2000-02-01,80.2590
2000-03-01,80.4658
2000-04-01,80.6599
2000-05-01,80.3559
2000-06-01,80.1416
2000-07-01,79.8861
2000-08-01,79.0370
2000-09-01,79.0883
2000-10-01,78.5229
2000-11-01,77.9961
2000-12-01,77.2099
2001-01-01,76.5918
2001-02-01,75.8747
2001-03-01,75.4337
2001-04-01,74.8420
2001-05-01,74.1303
2001-06-01,73.4371
2001-07-01,72.8156
2001-08-01,72.3572
2001-09-01,71.9210
2001-10-01,71.4550
2001-11-01,71.1014
2001-12-01,71.1234
2002-01-01,71.5443
2002-02-01,71.4973
2002-03-01,71.9912
2002-04-01,72.1888
2002-05-01,72.5601
2002-06-01,73.2783
2002-07-01,73.1700
2002-08-01,73.2265
2002-09-01,73.2868
2002-10-01,73.0390
2002-11-01,73.4209
2002-12-01,72.8976
2003-01-01,73.5213
2003-02-01,73.4291
2003-03-01,73.5194
2003-04-01,72.9859
2003-05-01,73.0342
2003-06-01,73.3751
2003-07-01,73.6664
2003-08-01,73.3818
2003-09-01,74.0526
2003-10-01,74.1317
2003-11-01,74.8387
2003-12-01,74.7987
2004-01-01,74.7664
2004-02-01,75.3441
2004-03-01,75.3535
2004-04-01,75.6325
2004-05-01,76.2011
2004-06-01,75.6369
2004-07-01,76.3052
2004-08-01,76.6415
2004-09-01,76.6793
2004-10-01,77.4352
2004-11-01,77.3578
2004-12-01,77.9039
2005-01-01,78.2947
2005-02-01,78.8777
2005-03-01,78.3640
2005-04-01,78.5356
2005-05-01,78.5860
2005-06-01,78.6241
2005-07-01,78.1710
2005-08-01,78.4354
2005-09-01,77.3650
2005-10-01,78.3776
2005-11-01,78.9565
2005-12-01,78.9059
2006-01-01,79.3862
2006-02-01,79.0347
2006-03-01,78.8467
2006-04-01,79.0005
2006-05-01,78.7105
2006-06-01,78.8648
2006-07-01,78.5040
2006-08-01,78.9838
2006-09-01,78.8969
2006-10-01,78.3635
2006-11-01,78.2844
2006-12-01,79.2854
2007-01-01,78.7969
2007-02-01,78.8713
2007-03-01,79.3328
2007-04-01,79.6184
2007-05-01,79.3453
2007-06-01,79.4257
2007-07-01,79.2242
2007-08-01,78.8354
2007-09-01,78.9260
2007-10-01,78.6522
2007-11-01,78.9665
2007-12-01,78.9815
2008-01-01,78.7310
2008-02-01,78.1103
2008-03-01,77.7575
2008-04-01,76.9568
2008-05-01,76.5532
2008-06-01,76.0332
2008-07-01,75.2374
2008-08-01,74.3053
2008-09-01,71.7197
2008-10-01,71.3843
2008-11-01,69.6701
2008-12-01,67.3448
2009-01-01,65.2282
2009-02-01,65.3125
2009-03-01,64.2741
2009-04-01,63.9471
2009-05-01,63.3721
2009-06-01,63.3134
2009-07-01,64.5022
2009-08-01,65.3611
2009-09-01,66.1307
2009-10-01,66.2370
2009-11-01,67.0226
2009-12-01,66.9982
2010-01-01,67.8520
2010-02-01,67.9534
2010-03-01,68.9776
2010-04-01,69.6987
2010-05-01,70.7306
2010-06-01,70.8215
2010-07-01,71.3225
2010-08-01,71.5697
2010-09-01,71.7504
2010-10-01,71.8836
2010-11-01,72.0704
2010-12-01,72.5274
2011-01-01,72.6837
2011-02-01,72.8647
2011-03-01,73.4231
2011-04-01,73.0166
2011-05-01,73.0352
2011-06-01,73.1246
2011-07-01,73.5125
2011-08-01,73.8171
2011-09-01,73.9672
2011-10-01,74.3113
2011-11-01,74.0930
2011-12-01,74.5011
2012-01-01,75.1051
2012-02-01,75.3474
2012-03-01,74.8468
2012-04-01,75.1597
2012-05-01,74.8306
2012-06-01,75.0045
2012-07-01,74.7702
2012-08-01,74.6039
2012-09-01,74.3659
2012-10-01,74.1461
2012-11-01,74.5299
2012-12-01,75.0134
2013-01-01,74.7778
2013-02-01,75.0640
2013-03-01,74.9707
2013-04-01,74.6674
2013-05-01,74.8607
2013-06-01,75.0141
2013-07-01,74.3470
2013-08-01,74.9657
2013-09-01,75.0107
2013-10-01,75.1454
2013-11-01,75.1631
2013-12-01,75.0465
2014-01-01,74.2428
2014-02-01,74.9745
2014-03-01,75.7080
2014-04-01,75.7284
2014-05-01,76.0006
2014-06-01,76.2915
2014-07-01,76.7015
2014-08-01,76.3537
2014-09-01,76.4863
2014-10-01,76.4985
2014-11-01,77.1282
2014-12-01,77.0620
2015-01-01,76.6993
2015-02-01,76.1857
2015-03-01,76.5174
2015-04-01,76.5573
2015-05-01,76.6186
2015-06-01,76.3731
2015-07-01,76.9441
2015-08-01,76.7530
2015-09-01,76.5684
2015-10-01,76.4527
2015-11-01,76.2071
2015-12-01,75.9647
2016-01-01,76.2520
2016-02-01,75.9220
2016-03-01,75.8311
2016-04-01,75.6408
2016-05-01,75.5281
2016-06-01,75.6788
2016-07-01,75.6485
2016-08-01,75.3642
2016-09-01,75.4940
2016-10-01,75.5939
2016-11-01,75.5395
2016-12-01,75.5846
2017-01-01,75.7653
2017-02-01,75.7570
2017-03-01,75.5620
2017-04-01,76.5142
2017-05-01,76.4774
2017-06-01,76.5955
2017-07-01,76.4140
2017-08-01,76.3701
2017-09-01,76.5043
2017-10-01,77.4151
2017-11-01,77.5966
2017-12-01,77.4940
2018-01-01,77.2502
2018-02-01,78.1255
2018-03-01,78.1202
2018-04-01,78.7297
2018-05-01,78.0999
2018-06-01,78.6967
2018-07-01,78.7311
2018-08-01,79.0032
2018-09-01,79.0267
2018-10-01,78.6760
2018-11-01,78.4807
2018-12-01,78.7637
2019-01-01,78.1126
2019-02-01,77.7236
2019-03-01,77.5281
2019-04-01,77.0682
2019-05-01,77.1400
2019-06-01,77.4764
2019-07-01,76.9759
2019-08-01,77.5305
2019-09-01,77.0431
2019-10-01,76.3498
2019-11-01,77.0710
2019-12-01,77.1349
2020-01-01,76.9779
2020-02-01,77.1848
2020-03-01,73.6983
2020-04-01,62.3093
2020-05-01,65.1154
2020-06-01,70.2656
2020-07-01,72.8539
2020-08-01,73.9066
2020-09-01,73.9373
2020-10-01,74.6024
2020-11-01,75.1600
2020-12-01,75.7444
2021-01-01,76.6707
2021-02-01,73.6230
2021-03-01,75.9661
2021-04-01,76.1956
2021-05-01,77.1380
2021-06-01,77.2023
2021-07-01,78.0556
2021-08-01,77.8169
2021-09-01,77.1281
2021-10-01,78.1989
2021-11-01,78.9035
2021-12-01,78.8760
2022-01-01,78.4142
2022-02-01,79.3083
2022-03-01,79.8824
2022-04-01,79.9753
2022-05-01,79.6532
2022-06-01,79.2708
2022-07-01,79.4102
2022-08-01,79.4958
2022-09-01,79.5684
2022-10-01,79.5555
2022-11-01,78.8698
2022-12-01,77.0846
2023-01-01,78.2565
2023-02-01,78.4359
2023-03-01,77.7484
2023-04-01,78.4336
2023-05-01,78.2232
2023-06-01,77.5715
2023-07-01,77.7646
2023-08-01,77.6007
2023-09-01,77.5976
2023-10-01,76.8334
2023-11-01,77.0653
2023-12-01,77.0585
2024-01-01,76.5281
