DATE,PCEDG
1990-01-01,536.4
1990-02-01,505.9
1990-03-01,503.8
1990-04-01,505.7
1990-05-01,495.3
1990-06-01,494.3
1990-07-01,496.3
1990-08-01,489.3
1990-09-01,495.1
1990-10-01,486.1
1990-11-01,482.7
1990-12-01,474.0
1991-01-01,452.7
1991-02-01,467.0
1991-03-01,495.4
1991-04-01,474.4
1991-05-01,473.5
1991-06-01,477.8
1991-07-01,485.4
1991-08-01,479.8
1991-09-01,487.9
1991-10-01,474.1
1991-11-01,477.3
1991-12-01,480.9
1992-01-01,495.6
1992-02-01,501.3
1992-03-01,491.7
1992-04-01,490.0
1992-05-01,501.9
1992-06-01,511.0
1992-07-01,507.2
1992-08-01,511.9
1992-09-01,517.1
1992-10-01,522.7
1992-11-01,514.1
1992-12-01,532.4
1993-01-01,538.1
1993-02-01,524.2
1993-03-01,521.2
1993-04-01,543.0
1993-05-01,552.0
1993-06-01,548.6
1993-07-01,558.6
1993-08-01,551.5
1993-09-01,559.8
1993-10-01,568.9
1993-11-01,574.2
1993-12-01,578.3
1994-01-01,579.6
1994-02-01,593.3
1994-03-01,593.6
1994-04-01,607.0
1994-05-01,588.9
1994-06-01,600.3
1994-07-01,602.1
1994-08-01,612.0
1994-09-01,613.8
1994-10-01,629.6
1994-11-01,635.1
1994-12-01,630.7
1995-01-01,623.6
1995-02-01,613.0
1995-03-01,627.2
1995-04-01,613.2
1995-05-01,624.8
1995-06-01,642.8
1995-07-01,631.0
1995-08-01,645.3
1995-09-01,651.3
1995-10-01,638.1
1995-11-01,650.6
1995-12-01,668.0
1996-01-01,645.8
1996-02-01,663.2
1996-03-01,670.4
1996-04-01,679.5
1996-05-01,680.1
1996-06-01,669.4
1996-07-01,672.9
1996-08-01,681.7
1996-09-01,683.6
1996-10-01,688.8
1996-11-01,692.2
1996-12-01,687.8
1997-01-01,703.3
1997-02-01,702.0
1997-03-01,711.5
1997-04-01,697.5
1997-05-01,690.2
1997-06-01,702.1
1997-07-01,715.7
1997-08-01,732.6
1997-09-01,720.0
1997-10-01,724.7
1997-11-01,740.8
1997-12-01,746.1
1998-01-01,733.0
1998-02-01,739.4
1998-03-01,740.7
1998-04-01,758.1
1998-05-01,778.3
1998-06-01,771.3
1998-07-01,769.4
1998-08-01,784.9
1998-09-01,800.9
1998-10-01,819.4
1998-11-01,817.9
1998-12-01,838.2
1999-01-01,808.4
1999-02-01,824.1
1999-03-01,827.4
1999-04-01,841.3
1999-05-01,855.4
1999-06-01,867.7
1999-07-01,865.2
1999-08-01,871.9
1999-09-01,876.4
1999-10-01,868.0
1999-11-01,871.2
1999-12-01,889.8
2000-01-01,908.6
2000-02-01,930.7
2000-03-01,923.3
2000-04-01,900.6
2000-05-01,907.0
2000-06-01,898.2
2000-07-01,897.3
2000-08-01,906.4
2000-09-01,931.3
2000-10-01,920.6
2000-11-01,913.4
2000-12-01,913.5
2001-01-01,916.5
2001-02-01,938.9
2001-03-01,925.1
2001-04-01,908.3
2001-05-01,916.0
2001-06-01,934.1
2001-07-01,925.0
2001-08-01,942.5
2001-09-01,904.1
2001-10-01,1035.1
2001-11-01,997.0
2001-12-01,955.6
2002-01-01,970.7
2002-02-01,983.2
2002-03-01,974.9
2002-04-01,1001.5
2002-05-01,962.7
2002-06-01,968.0
2002-07-01,1001.6
2002-08-01,1019.7
2002-09-01,983.9
2002-10-01,969.9
2002-11-01,978.5
2002-12-01,1009.9
2003-01-01,982.6
2003-02-01,956.4
2003-03-01,984.6
2003-04-01,1003.9
2003-05-01,1005.7
2003-06-01,1013.9
2003-07-01,1024.9
2003-08-01,1059.3
2003-09-01,1041.1
2003-10-01,1036.2
2003-11-01,1053.5
2003-12-01,1051.5
2004-01-01,1048.1
2004-02-01,1065.2
2004-03-01,1079.4
2004-04-01,1062.8
2004-05-01,1091.5
2004-06-01,1043.6
2004-07-01,1076.9
2004-08-01,1079.0
2004-09-01,1099.3
2004-10-01,1098.6
2004-11-01,1099.9
2004-12-01,1122.6
2005-01-01,1096.4
2005-02-01,1113.2
2005-03-01,1120.2
2005-04-01,1142.8
2005-05-01,1116.4
2005-06-01,1154.6
2005-07-01,1202.2
2005-08-01,1139.5
2005-09-01,1113.8
2005-10-01,1099.6
2005-11-01,1116.4
2005-12-01,1128.2
2006-01-01,1167.9
2006-02-01,1143.5
2006-03-01,1151.0
