DATE,IPMAN
1990-01-01,57.9700
1990-02-01,58.7845
1990-03-01,59.0954
1990-04-01,58.8633
1990-05-01,59.0444
1990-06-01,59.2390
1990-07-01,59.0980
1990-08-01,59.3211
1990-09-01,59.2578
1990-10-01,58.8571
1990-11-01,58.1503
1990-12-01,57.6707
1991-01-01,57.3148
1991-02-01,56.8957
1991-03-01,56.4981
1991-04-01,56.7451
1991-05-01,57.1511
1991-06-01,57.7147
1991-07-01,58.0325
1991-08-01,58.0837
1991-09-01,58.7157
1991-10-01,58.6417
1991-11-01,58.5290
1991-12-01,58.3863
1992-01-01,58.0760
1992-02-01,58.6426
1992-03-01,59.2631
1992-04-01,59.6067
1992-05-01,59.9612
1992-06-01,60.1622
1992-07-01,60.7245
1992-08-01,60.4475
1992-09-01,60.5490
1992-10-01,60.9311
1992-11-01,61.1747
1992-12-01,61.1170
1993-01-01,61.6837
1993-02-01,61.8390
1993-03-01,61.7190
1993-04-01,62.0420
1993-05-01,61.9800
1993-06-01,61.8728
1993-07-01,62.0325
1993-08-01,61.9400
1993-09-01,62.4006
1993-10-01,62.9387
1993-11-01,63.2337
1993-12-01,63.6510
1994-01-01,63.7320
1994-02-01,63.8278
1994-03-01,64.6889
1994-04-01,65.2743
1994-05-01,65.7091
1994-06-01,65.9462
1994-07-01,66.2319
1994-08-01,66.7851
1994-09-01,67.0390
1994-10-01,67.7242
1994-11-01,68.2818
1994-12-01,69.0470
1995-01-01,69.1755
1995-02-01,68.9960
1995-03-01,69.1762
1995-04-01,68.9815
1995-05-01,69.2266
1995-06-01,69.5554
1995-07-01,69.0997
1995-08-01,69.9333
1995-09-01,70.5699
1995-10-01,70.5167
1995-11-01,70.5883
1995-12-01,70.8760
1996-01-01,70.4422
1996-02-01,71.4917
1996-03-01,71.2976
1996-04-01,72.2025
1996-05-01,72.7811
1996-06-01,73.5084
1996-07-01,73.8378
1996-08-01,74.1472
1996-09-01,74.7638
1996-10-01,74.6556
1996-11-01,75.3130
1996-12-01,75.9361
1997-01-01,76.0189
1997-02-01,77.0590
1997-03-01,77.8510
1997-04-01,77.7438
1997-05-01,78.3183
1997-06-01,78.7963
1997-07-01,79.3826
1997-08-01,80.3899
1997-09-01,81.1102
1997-10-01,81.8399
1997-11-01,82.7057
1997-12-01,83.1500
1998-01-01,83.8442
1998-02-01,83.9466
1998-03-01,83.7744
1998-04-01,84.1401
1998-05-01,84.6139
1998-06-01,83.9391
1998-07-01,83.5124
1998-08-01,85.6512
1998-09-01,85.5701
1998-10-01,86.3233
1998-11-01,86.4205
1998-12-01,86.9349
1999-01-01,87.1810
1999-02-01,87.9842
1999-03-01,87.9655
1999-04-01,88.3045
1999-05-01,89.0393
1999-06-01,88.8312
1999-07-01,89.2667
1999-08-01,89.7249
1999-09-01,89.3148
1999-10-01,90.6741
1999-11-01,91.2832
1999-12-01,91.9555
2000-01-01,92.0231
2000-02-01,92.2694
2000-03-01,92.9096
2000-04-01,93.5374
2000-05-01,93.5876
2000-06-01,93.7401
2000-07-01,93.8396
2000-08-01,93.2373
2000-09-01,93.6927
2000-10-01,93.4148
2000-11-01,93.1767
2000-12-01,92.6178
2001-01-01,92.2481
2001-02-01,91.7407
2001-03-01,91.5497
2001-04-01,91.1555
2001-05-01,90.5890
2001-06-01,90.0147
2001-07-01,89.4950
2001-08-01,89.1489
2001-09-01,88.8064
2001-10-01,88.4040
2001-11-01,88.1190
2001-12-01,88.2783
2002-01-01,88.9141
2002-02-01,88.9504
2002-03-01,89.6409
2002-04-01,89.9445
2002-05-01,90.4504
2002-06-01,91.3780
2002-07-01,91.2669
2002-08-01,91.3572
2002-09-01,91.4502
2002-10-01,91.1567
2002-11-01,91.6439
2002-12-01,90.9979
2003-01-01,91.7826
2003-02-01,91.6795
2003-03-01,91.8032
2003-04-01,91.1426
2003-05-01,91.2028
2003-06-01,91.6245
2003-07-01,91.9855
2003-08-01,91.6241
2003-09-01,92.4506
2003-10-01,92.5302
2003-11-01,93.3888
2003-12-01,93.3115
2004-01-01,93.2407
2004-02-01,93.9273
2004-03-01,93.9041
2004-04-01,94.2181
2004-05-01,94.8990
2004-06-01,94.1799
2004-07-01,95.0098
2004-08-01,95.4444
2004-09-01,95.5293
2004-10-01,96.5328
2004-11-01,96.5224
2004-12-01,97.3135
2005-01-01,97.9336
2005-02-01,98.8203
2005-03-01,98.3527
2005-04-01,98.7592
2005-05-01,99.0268
2005-06-01,99.2885
2005-07-01,98.9319
2005-08-01,99.4814
2005-09-01,98.3307
2005-10-01,99.8200
2005-11-01,100.7526
2005-12-01,100.8737
2006-01-01,101.6659
2006-02-01,101.3841
2006-03-01,101.3049
2006-04-01,101.6621
2006-05-01,101.4510
2006-06-01,101.8193
2006-07-01,101.5314
2006-08-01,102.3450
2006-09-01,102.4408
2006-10-01,101.9725
2006-11-01,102.1103
2006-12-01,103.6744
2007-01-01,103.3066
2007-02-01,103.6888
2007-03-01,104.5936
2007-04-01,105.2765
2007-05-01,105.2236
2007-06-01,105.6354
2007-07-01,105.6596
2007-08-01,105.4136
2007-09-01,105.7843
2007-10-01,105.6376
2007-11-01,106.2478
2007-12-01,106.4202
2008-01-01,106.1970
2008-02-01,105.4342
2008-03-01,104.9953
2008-04-01,103.9181
2008-05-01,103.3520
2008-06-01,102.6092
2008-07-01,101.4802
2008-08-01,100.1576
2008-09-01,96.5984
2008-10-01,96.0628
2008-11-01,93.6634
2008-12-01,90.4392
2009-01-01,87.4945
2009-02-01,87.4963
2009-03-01,85.9910
2009-04-01,85.4388
2009-05-01,84.5547
2009-06-01,84.3589
2009-07-01,85.8242
2009-08-01,86.8487
2009-09-01,87.7524
2009-10-01,87.7749
2009-11-01,88.6968
2009-12-01,88.5461
2010-01-01,89.5541
2010-02-01,89.5639
2010-03-01,90.7848
2010-04-01,91.6014
2010-05-01,92.8207
2010-06-01,92.8011
2010-07-01,93.3187
2010-08-01,93.5052
2010-09-01,93.6096
2010-10-01,93.6585
2010-11-01,93.7857
2010-12-01,94.2746
2011-01-01,94.3843
2011-02-01,94.5427
2011-03-01,95.2078
2011-04-01,94.6400
2011-05-01,94.6447
2011-06-01,94.7640
2011-07-01,95.2936
2011-08-01,95.7373
2011-09-01,95.9999
2011-10-01,96.5314
2011-11-01,96.3462
2011-12-01,96.9870
2012-01-01,97.8931
2012-02-01,98.3347
2012-03-01,97.8101
2012-04-01,98.3497
2012-05-01,98.0487
2012-06-01,98.4040
2012-07-01,98.2197
2012-08-01,98.1211
2012-09-01,97.9241
2012-10-01,97.7459
2012-11-01,98.3578
2012-12-01,99.0949
2013-01-01,98.8732
2013-02-01,99.3304
2013-03-01,99.2740
2013-04-01,98.9266
2013-05-01,99.2249
2013-06-01,99.4585
2013-07-01,98.5933
2013-08-01,99.4251
2013-09-01,99.4882
2013-10-01,99.6624
2013-11-01,99.6732
2013-12-01,99.4981
2014-01-01,98.4050
2014-02-01,99.3374
2014-03-01,100.2632
2014-04-01,100.2376
2014-05-01,100.5369
2014-06-01,100.8518
2014-07-01,101.3151
2014-08-01,100.7684
2014-09-01,100.8476
2014-10-01,100.7615
2014-11-01,101.4837
2014-12-01,101.2882
2015-01-01,100.7044
2015-02-01,99.9269
2015-03-01,100.2643
2015-04-01,100.2283
2015-05-01,100.2325
2015-06-01,99.8508
2015-07-01,100.5549
2015-08-01,100.2821
2015-09-01,100.0365
2015-10-01,99.8987
2015-11-01,99.6076
2015-12-01,99.3351
2016-01-01,99.7682
2016-02-01,99.4033
2016-03-01,99.3585
2016-04-01,99.1874
2016-05-01,99.1171
2016-06-01,99.3878
2016-07-01,99.4120
2016-08-01,99.0898
2016-09-01,99.2957
2016-10-01,99.4435
2016-11-01,99.3672
2016-12-01,99.4003
2017-01-01,99.5906
2017-02-01,99.5106
2017-03-01,99.1665
2017-04-01,100.3106
2017-05-01,100.1435
2017-06-01,100.1691
2017-07-01,99.7969
2017-08-01,99.6024
2017-09-01,99.6423
2017-10-01,100.6969
2017-11-01,100.8090
2017-12-01,100.5616
2018-01-01,100.1420
2018-02-01,101.1868
2018-03-01,101.1026
2018-04-01,101.8250
2018-05-01,100.9561
2018-06-01,101.6835
2018-07-01,101.6938
2018-08-01,102.0176
2018-09-01,102.0249
2018-10-01,101.5511
2018-11-01,101.2780
2018-12-01,101.6213
2019-01-01,100.7582
2019-02-01,100.2292
2019-03-01,99.9469
2019-04-01,99.3231
2019-05-01,99.3831
2019-06-01,99.7831
2019-07-01,99.1060
2019-08-01,99.7898
2019-09-01,99.1318
2019-10-01,98.2088
2019-11-01,99.1039
2019-12-01,99.1510
2020-01-01,98.9116
2020-02-01,99.1331
2020-03-01,94.6074
2020-04-01,79.9421
2020-05-01,83.4880
2020-06-01,90.0242
2020-07-01,93.2612
2020-08-01,94.5193
2020-09-01,94.4619
2020-10-01,95.2082
2020-11-01,95.8115
2020-12-01,96.4450
2021-01-01,97.5098
2021-02-01,93.5276
2021-03-01,96.3978
2021-04-01,96.5859
2021-05-01,97.6843
2021-06-01,97.6806
2021-07-01,98.6887
2021-08-01,98.3313
2021-09-01,97.4235
2021-10-01,98.7550
2021-11-01,99.6404
2021-12-01,99.6170
2022-01-01,99.0596
2022-02-01,100.2304
2022-03-01,101.0107
2022-04-01,101.1941
2022-05-01,100.8630
2022-06-01,100.4645
2022-07-01,100.7345
2022-08-01,100.9427
2022-09-01,101.1402
2022-10-01,101.2339
2022-11-01,100.4743
2022-12-01,98.3130
2023-01-01,99.9240
2023-02-01,100.2713
2023-03-01,99.5110
2023-04-01,100.5079
2023-05-01,100.3586
2023-06-01,99.6427
2023-07-01,100.0108
2023-08-01,99.9193
2023-09-01,100.0343
2023-10-01,99.1668
2023-11-01,99.5837
2023-12-01,99.692
2024-01-01,99.1585
