DATE,STICKCPIM157SFRBATL
1990-01-01,0.446444742
1990-02-01,0.392597
1990-03-01,0.618122979
1990-04-01,0.431721537
1990-05-01,0.382620197
1990-06-01,0.561649231
1990-07-01,0.559422948
1990-08-01,0.625444933
1990-09-01,0.356662373
1990-10-01,0.376838789
1990-11-01,0.276368822
1990-12-01,0.355966241
1991-01-01,0.661936302
1991-02-01,0.464029119
1991-03-01,0.248461134
1991-04-01,0.255541059
1991-05-01,0.319737337
1991-06-01,0.307838385
1991-07-01,0.374448398
1991-08-01,0.345836002
1991-09-01,0.396628559
1991-10-01,0.222431254
1991-11-01,0.30925923
1991-12-01,0.344373923
1992-01-01,0.311958427
1992-02-01,0.236286866
1992-03-01,0.347860825
1992-04-01,0.307105521
1992-05-01,0.183411635
1992-06-01,0.241104598
1992-07-01,0.267522091
1992-08-01,0.211428015
1992-09-01,0.152842168
1992-10-01,0.46334779
1992-11-01,0.31187028
1992-12-01,0.200105721
1993-01-01,0.362618304
1993-02-01,0.258514901
1993-03-01,0.145188518
1993-04-01,0.3781831
1993-05-01,0.287698577
1993-06-01,0.278625769
1993-07-01,0.14566629
1993-08-01,0.288838958
1993-09-01,0.258343122
1993-10-01,0.281843343
1993-11-01,0.31869256
1993-12-01,0.303215491
1994-01-01,0.202708057
1994-02-01,0.281270745
1994-03-01,0.279877427
1994-04-01,0.190094817
1994-05-01,0.177794592
1994-06-01,0.247420809
1994-07-01,0.173550867
1994-08-01,0.351817961
1994-09-01,0.217228635
1994-10-01,0.202334758
1994-11-01,0.305067723
1994-12-01,0.10889129
1995-01-01,0.413281043
1995-02-01,0.27436069
1995-03-01,0.343571966
1995-04-01,0.309228645
1995-05-01,0.229805952
1995-06-01,0.225807005
1995-07-01,0.23219809
1995-08-01,0.237186244
1995-09-01,0.306829137
1995-10-01,0.313667474
1995-11-01,0.217344459
1995-12-01,0.101356777
1996-01-01,0.327054563
1996-02-01,0.275006938
1996-03-01,0.222659133
1996-04-01,0.208615737
1996-05-01,0.272202761
1996-06-01,0.237378143
1996-07-01,0.276597949
1996-08-01,0.225909378
1996-09-01,0.30832047
1996-10-01,0.229675277
1996-11-01,0.262242389
1996-12-01,0.180977884
1997-01-01,0.203765355
1997-02-01,0.174247193
1997-03-01,0.267144082
1997-04-01,0.243285257
1997-05-01,0.219865405
1997-06-01,0.196241201
1997-07-01,0.212069508
1997-08-01,0.13797809
1997-09-01,0.208316704
1997-10-01,0.271779629
1997-11-01,0.193432375
1997-12-01,0.248072509
1998-01-01,0.24299
1998-02-01,0.19197
1998-03-01,0.24547
1998-04-01,0.21983
1998-05-01,0.205160000
1998-06-01,0.18008
1998-07-01,0.20541
1998-08-01,0.16762
1998-09-01,0.18748
1998-10-01,0.2107
1998-11-01,0.18038
1998-12-01,0.17337
1999-01-01,0.20831
1999-02-01,0.13513
1999-03-01,0.17725
1999-04-01,0.21146
1999-05-01,0.12968
1999-06-01,0.09871
1999-07-01,0.2479
1999-08-01,0.15958
1999-09-01,0.14397
1999-10-01,0.19766
1999-11-01,0.27019
1999-12-01,0.18711
2000-01-01,0.35406
2000-02-01,0.17475
2000-03-01,0.26939
2000-04-01,0.13823
2000-05-01,0.26353
2000-06-01,0.24274
2000-07-01,0.26064
2000-08-01,0.2968
2000-09-01,0.17309
2000-10-01,0.21727
2000-11-01,0.21436
2000-12-01,0.27684
2001-01-01,0.28204
2001-02-01,0.26208
2001-03-01,0.25981
2001-04-01,0.26265
2001-05-01,0.25971
2001-06-01,0.36289
2001-07-01,0.26438
2001-08-01,0.34349
2001-09-01,0.29135
2001-10-01,0.30965
2001-11-01,0.32105
2001-12-01,0.23111
2002-01-01,0.26637
2002-02-01,0.24798
2002-03-01,0.1859
2002-04-01,0.24491
2002-05-01,0.24702
2002-06-01,0.1808
2002-07-01,0.27026
2002-08-01,0.22639
2002-09-01,0.18028
2002-10-01,0.22913
2002-11-01,0.22089
2002-12-01,0.20771
2003-01-01,0.22336
2003-02-01,0.17869
2003-03-01,0.13397
2003-04-01,0.09424
2003-05-01,0.14769
2003-06-01,0.10361
2003-07-01,0.24554
2003-08-01,0.15886
2003-09-01,0.19389
2003-10-01,0.20961
2003-11-01,0.12676
2003-12-01,0.17251
2004-01-01,0.24207
2004-02-01,0.24542
2004-03-01,0.21358
2004-04-01,0.22361
2004-05-01,0.13255
2004-06-01,0.22509
2004-07-01,0.16093
2004-08-01,0.17189
2004-09-01,0.19293
2004-10-01,0.20564
2004-11-01,0.16878
2004-12-01,0.16961
2005-01-01,0.25642
2005-02-01,0.22074
2005-03-01,0.17368
2005-04-01,0.21084
2005-05-01,0.23434
2005-06-01,0.09654
2005-07-01,0.23117
2005-08-01,0.13822
2005-09-01,0.24793
2005-10-01,0.20156
2005-11-01,0.27113
2005-12-01,0.20125
2006-01-01,0.23551
2006-02-01,0.26593
2006-03-01,0.2506
2006-04-01,0.29683
2006-05-01,0.34111
2006-06-01,0.31301
2006-07-01,0.28539
2006-08-01,0.24466
2006-09-01,0.2279
2006-10-01,0.27134
2006-11-01,0.14428
2006-12-01,0.18746
2007-01-01,0.27122
2007-02-01,0.28308
2007-03-01,0.20105
2007-04-01,0.18702
2007-05-01,0.16879
2007-06-01,0.188
2007-07-01,0.22544
2007-08-01,0.20532
2007-09-01,0.27277
2007-10-01,0.2823
2007-11-01,0.2844
2007-12-01,0.23446
2008-01-01,0.29248
2008-02-01,0.17356
2008-03-01,0.27652
2008-04-01,0.21826
2008-05-01,0.23951
2008-06-01,0.32148
2008-07-01,0.30732
2008-08-01,0.26009
2008-09-01,0.27492
2008-10-01,0.17719
2008-11-01,0.16976
2008-12-01,0.11031
2009-01-01,0.20704
2009-02-01,0.16396
2009-03-01,0.16776
2009-04-01,0.14516
2009-05-01,0.13231
2009-06-01,0.11211
2009-07-01,0.10797
2009-08-01,0.10567
2009-09-01,0.10038
2009-10-01,0.05804
2009-11-01,0.02312
2009-12-01,0.04373
2010-01-01,0.05021
2010-02-01,0.03402
2010-03-01,0.04407
2010-04-01,0.07876
2010-05-01,0.07044
2010-06-01,0.09999
2010-07-01,0.07103
2010-08-01,0.0701
2010-09-01,0.08672
2010-10-01,0.06399
2010-11-01,0.14521
2010-12-01,0.05259
2011-01-01,0.17642
2011-02-01,0.19484
2011-03-01,0.12718
2011-04-01,0.12775
2011-05-01,0.12025
2011-06-01,0.1473
2011-07-01,0.19381
2011-08-01,0.28732
2011-09-01,0.14144
2011-10-01,0.17117
2011-11-01,0.15638
2011-12-01,0.24612
2012-01-01,0.26012
2012-02-01,0.10548
2012-03-01,0.2106
2012-04-01,0.17824
2012-05-01,0.11892
2012-06-01,0.19449
2012-07-01,0.21389
2012-08-01,0.19488
2012-09-01,0.18516
2012-10-01,0.14966
2012-11-01,0.13869
2012-12-01,0.16692
2013-01-01,0.19751
2013-02-01,0.17214
2013-03-01,0.17299
2013-04-01,0.04022
2013-05-01,0.08631
2013-06-01,0.15699
2013-07-01,0.20701
2013-08-01,0.22916
2013-09-01,0.15128
2013-10-01,0.13633
2013-11-01,0.17041
2013-12-01,0.14988
2014-01-01,0.14376
2014-02-01,0.15094
2014-03-01,0.20848
2014-04-01,0.21434
2014-05-01,0.17885
2014-06-01,0.17231
2014-07-01,0.17557
2014-08-01,0.11756
2014-09-01,0.16136
2014-10-01,0.18682
2014-11-01,0.18423
2014-12-01,0.11959
2015-01-01,0.16151
2015-02-01,0.14952
2015-03-01,0.21332
2015-04-01,0.26795
2015-05-01,0.1887
2015-06-01,0.21136
2015-07-01,0.17893
2015-08-01,0.14264
2015-09-01,0.26715
2015-10-01,0.25144
2015-11-01,0.21261
2015-12-01,0.14923
2016-01-01,0.20473
2016-02-01,0.20991
2016-03-01,0.20553
2016-04-01,0.27443
2016-05-01,0.21519
2016-06-01,0.20992
2016-07-01,0.19786
2016-08-01,0.27182
2016-09-01,0.15975
2016-10-01,0.13482
2016-11-01,0.22051
2016-12-01,0.21492
2017-01-01,0.26506
2017-02-01,0.22227
2017-03-01,0.00188
2017-04-01,0.09617
2017-05-01,0.12281
2017-06-01,0.18274
2017-07-01,0.20494
2017-08-01,0.23016
2017-09-01,0.18649
2017-10-01,0.20927
2017-11-01,0.16212
2017-12-01,0.23647
2018-01-01,0.29694
2018-02-01,0.19752
2018-03-01,0.21342
2018-04-01,0.20826
2018-05-01,0.18171
2018-06-01,0.20604
2018-07-01,0.169
2018-08-01,0.14136
2018-09-01,0.21055
2018-10-01,0.16571
2018-11-01,0.22533
2018-12-01,0.23279
2019-01-01,0.22431
2019-02-01,0.20728
2019-03-01,0.19922
2019-04-01,0.24192
2019-05-01,0.14885
2019-06-01,0.24308
2019-07-01,0.25586
2019-08-01,0.28087
2019-09-01,0.19912
2019-10-01,0.28013
2019-11-01,0.23006
2019-12-01,0.20621
2020-01-01,0.26417
2020-02-01,0.20664
2020-03-01,0.03321
2020-04-01,-0.14379
2020-05-01,0.02068
2020-06-01,0.24023
2020-07-01,0.5245
2020-08-01,0.22866
2020-09-01,0.01953
2020-10-01,0.08782
2020-11-01,0.19179
2020-12-01,0.12485
2021-01-01,0.07945
2021-02-01,0.19057
2021-03-01,0.19589
2021-04-01,0.41537
2021-05-01,0.34273
2021-06-01,0.25766
2021-07-01,0.35198
2021-08-01,0.25056
2021-09-01,0.26699
2021-10-01,0.47747
2021-11-01,0.38369
2021-12-01,0.38737
2022-01-01,0.55458
2022-02-01,0.50893
2022-03-01,0.43228
2022-04-01,0.58779
2022-05-01,0.57207
2022-06-01,0.65762
2022-07-01,0.51157
2022-08-01,0.59382
2022-09-01,0.63393
2022-10-01,0.46193
2022-11-01,0.47494
2022-12-01,0.47011
2023-01-01,0.50761
2023-02-01,0.54472
2023-03-01,0.33545
2023-04-01,0.46454
2023-05-01,0.30279
2023-06-01,0.27447
2023-07-01,0.3126
2023-08-01,0.34753
2023-09-01,0.4138
2023-10-01,0.34668
2023-11-01,0.28853
2023-12-01,0.34481
2024-01-01,0.538316322
